SPXT,EAFE,LTR,REIT,GSCI
288.116,1534.571,277.235,910.73,1367.97
309.2142,1561.596,282.28,930.92,1373.6
301.5084,1569.627,278.686,928.15,1432.68
308.5421,1538.821,281.146,932.46,1529.34
324.5617,1553.093,288.43,958.81,1577.91
337.693,1468.572,298.269,967.76,1557.74
335.7776,1443.878,309.207,986.52,1612.21
366.0953,1625.186,318.663,1022.98,1566.91
373.2522,1552.099,311.031,1032.42,1621.35
371.7377,1622.767,311.917,1022.76,1717.92
363.106,1557.563,321.955,996.38,1705.83
370.5113,1635.85,325.757,993.25,1733.35
379.409,1696.261,325.367,991.26,1891.64
353.9369,1633.145,318.887,950.14,1883.36
358.4958,1519.16,318.781,943.47,1877.21
367.9953,1360.858,318.082,952.88,1890.95
358.8146,1350.062,313.103,936.32,1871.12
393.8009,1504.148,324.166,935.6,1857.3
391.1443,1490.884,330.154,951.76,1828.55
389.8899,1511.883,334.347,943.09,1979.47
354.6475,1365.082,326.386,875.17,2307.85
337.3884,1174.838,329.443,813.28,2837.27
335.9515,1357.87,335.793,785.86,2665.57
357.6678,1277.752,345.722,841.63,2490.6
367.6313,1298.544,351.035,839.09,2441.68
383.6417,1340.495,355.423,930.88,2212.46
411.0779,1484.182,356.605,947.73,2243.23
421.0325,1395.064,358.321,1029.89,2327.67
422.0288,1408.794,362.198,1055.97,2380.39
440.2355,1423.534,363.1,1067.71,2379.17
420.0666,1318.94,361.496,1037.91,2322.83
439.6456,1383.728,367.032,1058.85,2441.43
450.0617,1355.594,377.333,1054.57,2479.07
442.5299,1432.014,388.424,1080.39,2498.64
448.4796,1452.288,391.584,1068.52,2570.31
430.4091,1384.485,395.137,1062.58,2466.49
479.6332,1456.006,414.282,1138.61,2291.9
470.6952,1424.934,401.272,1194.06,2354.91
476.7912,1373.931,404.727,1165.5,2329.08
467.5183,1283.222,400.625,1146.15,2355.11
481.2451,1289.258,402.033,1142.08,2425.68
483.6041,1375.553,411.573,1191.99,2490.85
476.4094,1310.352,419.587,1176.38,2477.12
495.8717,1276.816,434.344,1227.49,2442.6
485.7234,1356.899,439.752,1231.27,2445.16
491.4308,1330.104,447.835,1256.65,2473.19
493.1286,1260.334,438.653,1255.04,2418.81
509.92,1272.194,437.335,1281.6,2387.88
516.1779,1278.774,447.593,1304.73,2393.26
520.4936,1278.617,460.689,1388.46,2422.28
527.5875,1317.24,472.724,1463.11,2450.42
538.7192,1432.058,474.321,1587.08,2501.49
525.6977,1567.964,478.972,1517.18,2474.61
539.7605,1601.079,478.601,1493.13,2405.75
541.3413,1576.099,492.536,1541.53,2330.46
539.1638,1631.27,493.669,1568.45,2310.31
559.6213,1719.331,505.725,1607.18,2329.33
555.3296,1680.63,509.638,1685.64,2335.26
566.817,1732.423,509.649,1653.5,2251.36
561.4145,1580.991,503.128,1563.82,2138.44
568.2021,1695.15,505.823,1561.17,2098.21
587.5194,1838.467,514.567,1606.61,2269.05
571.5728,1833.375,501.327,1676.38,2219.72
546.654,1754.409,484.97,1614.31,2193.29
553.664,1828.847,481.953,1641.72,2250.73
562.7504,1818.347,481.896,1678.26,2284.22
548.9561,1844.044,479.685,1644.03,2340.41
566.9824,1861.778,491.511,1635.99,2380.7
590.2283,1905.856,493.999,1640.88,2220.25
575.7949,1845.83,482.879,1610.41,2199.35
